what is your age group?,What is your gender?,What is your approximate monthly income/allowance( £) ,How often do you buy clothing?,How much do you typically spend per clothing purchase (£)? ,"Where do you mostly shop for clothing?  

","Which online platforms do you use? (Select all that apply) 
","How far in advance do you plan clothing purchases? 

","How often do you buy during sales or discount events? 
","Do you prefer buying from sustainable/ethical brands?  
","What influences your clothing purchase most? 
","How important is brand loyalty to you? 
","How often do you return clothing items?  
","How do you discover new clothing brands?  
","How important is fast delivery when shopping online? 
","Do you follow fashion influencers on social media?  
","How likely are you to buy clothing seen on social media? 
"
18-24,Male,£1000-£2000,Monthly,£50-£100,"Online only, In-store only, Both equally",H&M,I don't plan,Sometimes,Neutral,Trends,Important,Sometimes,Friends,Important,"Yes, regularly",Likely
25-34,Male,£2000-£3500,Monthly,£50-£100,Both equally,Other,Weeks before,Sometimes,Somewhat prefer,Quality,Important,Sometimes,Social Media,Very important,"Yes, regularly",Very likely
18-24,Male,£500-£1000,Weekly,£20-£50,In-store only,Amazon,Day before,Never,Neutral,Quality,Very important,Very often,Social Media,Very important,"Yes, regularly",Very likely
18-24,Female,Under £500,Monthly,£20-£50,"Online only, In-store only, Both equally",Shein,Day before,Sometimes,Neutral,Quality,Neutral,Sometimes,Social Media,Very important,"Yes, occasionally",Unlikely
18-24,Female,Under £500,Rarely,Under £20,Both equally,Other,I don't plan,Sometimes,Neutral,Quality,Important,Very often,Online search,Very important,No,Neutral
18-24,Male,£500-£1000,Every 2-3 months,£100-£200,Both equally,ASOS,Day before,Sometimes,Somewhat prefer,Brand,Neutral,Rarely,Friends,Very important,"Yes, occasionally",Likely
18-24,Male,£500-£1000,Twice a year,£50-£100,Online only,Shein,Day before,Rarely,Neutral,Friends,Very important,Very often,In-store,,No,Likely
18-24,Female,£1000-£2000,Every 2-3 months,£20-£50,In-store only,Amazon,Weeks before,Sometimes,Somewhat prefer,Quality,Important,Rarely,Friends,Important,No,Neutral
18-24,Female,Under £500,Rarely,Under £20,In-store only,Other,Day before,Rarely,Somewhat prefer,Brand,Very important,Very often,Social Media,Very important,"Yes, regularly",Very likely
25-34,Male,£1000-£2000,Every 2-3 months,£100-£200,Both equally,Amazon,Months before,Sometimes,Strongly prefer,Brand,Neutral,Rarely,Social Media,Important,No,Likely
25-34,Male,£500-£1000,Monthly,£100-£200,Both equally,ASOS,Months before,Often,Somewhat prefer,Quality,Very important,Rarely,In-store,Important,"Yes, regularly",Neutral
18-24,Female,Under £500,Rarely,Under £20,Both equally,Other,I don't plan,Sometimes,Somewhat prefer,Price,Important,Sometimes,Social Media,Very important,"Yes, occasionally",Neutral
18-24,Female,£500-£1000,Monthly,£20-£50,Both equally,Amazon,I don't plan,Often,Somewhat prefer,Quality,Very important,Very often,Social Media,Very important,"Yes, regularly",Very likely
